ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,isocode,Glottolog_Name
Sema_Sumi_Naga,Sema_Sumi_Naga,,25.9996,94.4235,sumi1235,,xd703,nsm,Sumi Naga
Sunwar_Kiranti,Sunwar_Kiranti,,27.5201,86.2476,sunw1242,,,suz,Sunwar
Tamang_TG,Tamang_TG,,28.0239,85.0563,west2415,,,tdg,Western Tamang
Tangkhul_Tangkhulic,Tangkhul_Tangkhulic,,25.0489,94.3567,tang1336,,,nmf,East-Central Tangkhul Naga
Thado_KukiChin,Thado_KukiChin,,24.096,93.722,thad1238,,xd699,tcz,Thado Chin
Thakali_TG,Thakali_TG,,28.7014,83.6466,thak1245,,,ths,Thakali
Thulung_Kiranti,Thulung_Kiranti,,27.5389,87.6063,thul1246,,,tdh,Thulung
Tibetan_Amdo_Blabrang_Tibetan,Tibetan_Amdo_Blabrang_Tibetan,,34.5177,100.485,amdo1237,,,adx,Amdo Tibetan
Tibetan_Amdo_Zeku_Tibetan,Tibetan_Amdo_Zeku_Tibetan,,34.5177,100.485,amdo1237,,,adx,Amdo Tibetan
Tibetan_Batang_Tibetan,Tibetan_Batang_Tibetan,,31.9313,91.7062,kham1282,,,khg,Khams Tibetan
Tibetan_Jirel_Tibetan,Tibetan_Jirel_Tibetan,,27.6931,86.3201,jire1238,,,jul,Jirel
Tibetan_Khams_Tibetan,Tibetan_Khams_Tibetan,,31.9313,91.7062,kham1282,,,khg,Khams Tibetan
Tibetan_Lhasa_Tibetan,Tibetan_Lhasa_Tibetan,,28.3681,90.1872,tibe1272,,xd656,bod,Tibetan
Tibetan_Xiahe_Tibetan,Tibetan_Xiahe_Tibetan,,34.5177,100.485,amdo1237,,,adx,Amdo Tibetan
Tiddim_KukiChin,Tiddim_KukiChin,,23.6079,93.519,tedi1235,,,ctd,Tedim Chin
Trung_Dulong_Nungish,Trung_Dulong_Nungish,,28.00792,98.49449,drun1238,,,duu,Drung
Trung_Nujiang_Nungish,Trung_Nujiang_Nungish,,28.00792,98.49449,drun1238,,,duu,Drung
Xumi_Naic,Xumi_Naic,,28.3895,100.4,shix1238,,,sxg,Shixing
Yi_Dafang_Ngwi,Yi_Dafang_Ngwi,,25.7707,102.367,wusa1235,,,yig,Wusa Nasu
Yi_Mile_Ngwi,Yi_Mile_Ngwi,,24.6009,103.713,axiy1235,,,yix,Axi Yi
Yi_Mojiang_Ngwi,Yi_Mojiang_Ngwi,,23.058,101.412,sout2723,,,nsd,Southern Nisu
Yi_Nanjian_Ngwi,Yi_Nanjian_Ngwi,,24.8709,100.711,xish1235,,,ywt,Xishanba Lalo
Yi_Sani_Ngwi,Yi_Sani_Ngwi,,24.278,103.759,sani1269,,,ysn,Sani
Yi_Weishan_Ngwi,Yi_Weishan_Ngwi,,24.8709,100.711,xish1235,,,ywt,Xishanba Lalo
Yi_Wuding_Ngwi,Yi_Wuding_Ngwi,,25.48,102.48,wudi1238,,,ywq,Wuding-Luquan Yi
Zeme_Naga,Zeme_Naga,,25.3499,93.6463,zeme1240,,,nzm,Zeme Naga
